rider_id,date,location,rides,on_time_rides,cancelled_rides,missed_rides,distance_km,overhead_distance_km,earnings,peak_bonus,waiting_earnings,fuel_cost,idle_minutes,work_hours,customer_rating,avg_speed_kmph,network_downtime
R604EM,2025-04-01,Mumbai,10,8,2,3,48.66,2.95,468.05,0,8.63,123.93,39,3.45,4.68,25.24,5
R530DY,2025-04-01,Kolkata,16,13,3,2,75.22,3.61,745.59,80,30.08,194.2,40,5.75,4.8,23.47,6
R280VJ,2025-04-01,Chennai,8,5,0,2,37.62,2.57,360.45,0,8.08,93.32,36,2.72,4.15,26.72,6
R172ZA,2025-04-01,Kolkata,15,10,2,2,76.95,20.19,717.79,80,20.27,196.73,55,6.91,4.16,20.96,6
R409QX,2025-04-01,Mumbai,16,14,2,1,67.06,6.7,699.77,80,22.5,146.64,78,6.69,4.87,21.58,6
R908AH,2025-04-01,Bangaluru,10,8,3,2,50.31,3.61,599.18,0,7.01,107.11,78,4.63,4.57,19.98,4
R766TO,2025-04-01,Kolkata,9,7,0,0,42.39,11.18,420.6,0,15.01,146.0,35,4.17,4.53,19.89,6
R485YS,2025-04-01,Hyderabad,15,12,3,3,68.37,11.42,618.14,80,21.14,211.96,47,6.59,4.42,19.52,3
R528SA,2025-04-01,Kolkata,16,12,0,1,66.18,14.04,551.28,80,17.64,181.03,83,6.47,4.47,23.15,6
R449FJ,2025-04-01,Bangaluru,13,9,3,0,60.91,5.86,717.76,80,9.95,179.14,52,4.28,4.18,26.57,11
R860DT,2025-04-01,Bangaluru,17,14,2,3,76.55,4.07,848.49,80,25.21,183.86,87,6.45,4.68,24.28,11
R652UY,2025-04-01,Bangaluru,13,9,1,1,63.5,13.41,644.69,80,12.56,145.43,69,5.94,4.6,19.72,5
R439FL,2025-04-01,Mumbai,16,12,3,1,73.46,13.67,746.76,80,27.83,168.12,46,6.27,4.57,22.12,2
R838SF,2025-04-01,Bangaluru,13,8,3,3,64.4,3.49,733.29,80,24.13,137.04,35,4.65,4.18,25.42,7
R323TM,2025-04-01,Delhi,9,7,0,3,39.15,7.85,435.08,0,10.0,81.43,22,3.07,4.25,23.69,4
R537BB,2025-04-01,Chennai,10,8,0,3,48.32,3.31,483.21,0,16.32,95.36,76,4.18,4.76,26.87,3
R726US,2025-04-01,Delhi,18,16,2,1,85.76,14.54,729.77,100,28.86,220.19,35,7.07,4.49,21.07,5
R602GG,2025-04-01,Delhi,7,5,0,2,35.45,7.64,436.97,0,5.56,83.05,48,2.94,4.68,25.49,3
R206PU,2025-04-01,Kolkata,8,7,0,3,37.19,5.31,378.68,0,8.04,82.51,83,3.95,4.5,22.93,6
R393LT,2025-04-01,Kolkata,8,6,0,0,38.93,8.27,506.55,0,12.04,103.31,70,4.35,4.58,20.06,4
R812LQ,2025-04-01,Bangaluru,17,15,2,0,68.8,13.48,582.42,80,21.6,176.81,39,5.64,4.66,26.11,8
R231OK,2025-04-01,Mumbai,15,13,2,1,62.42,18.17,775.17,80,16.78,201.12,57,5.93,4.61,20.68,4
R999XV,2025-04-01,Kolkata,9,7,1,1,35.33,5.93,398.8,0,14.77,90.74,66,4.1,4.84,21.52,0
R254DY,2025-04-01,Kolkata,8,6,3,0,39.1,9.94,369.76,0,10.28,110.48,34,3.63,4.16,21.88,6
R547DB,2025-04-01,Mumbai,19,13,0,1,88.43,16.17,1101.91,100,19.74,245.87,89,6.96,4.27,26.66,2
R815GR,2025-04-01,Bangaluru,11,9,0,2,48.03,10.22,494.74,0,13.12,132.19,41,3.95,4.79,23.54,8
R690QF,2025-04-01,Hyderabad,6,4,0,0,26.87,8.0,263.39,0,12.5,76.77,62,3.24,4.31,23.81,2
R835DS,2025-04-01,Kolkata,9,7,3,3,38.85,4.17,387.52,0,11.57,103.29,42,3.64,4.44,20.48,6
R518ZJ,2025-04-01,Hyderabad,7,5,1,2,38.51,5.85,442.09,0,12.49,97.28,68,3.76,4.72,23.66,7
R838SL,2025-04-01,Kolkata,16,14,0,3,72.84,15.98,821.11,80,29.34,170.9,88,7.87,4.77,19.47,2
R981OO,2025-04-01,Bangaluru,14,10,1,0,67.49,4.01,702.7,80,15.88,183.47,90,5.71,4.38,24.02,8
R943NC,2025-04-01,Bangaluru,12,8,0,2,58.65,13.58,648.27,0,16.76,159.49,69,5.46,4.38,23.38,6
R579QX,2025-04-01,Kolkata,10,8,1,0,47.02,8.07,595.45,0,13.48,105.73,44,4.33,4.72,19.87,1
R256JW,2025-04-01,Chennai,7,5,1,0,35.34,4.21,344.71,0,7.64,88.69,60,3.23,4.73,24.86,1
R527RM,2025-04-01,Delhi,13,10,2,3,55.16,1.44,512.72,80,14.06,104.01,41,4.18,4.78,21.5,2
R970UH,2025-04-01,Delhi,18,15,0,2,80.57,19.65,821.2,100,25.67,193.28,83,7.78,4.78,22.54,2
R283SF,2025-04-01,Hyderabad,11,10,0,3,45.05,13.6,481.43,0,16.44,125.2,60,4.99,4.52,22.05,8
R904QJ,2025-04-01,Hyderabad,7,5,2,2,33.57,8.23,371.63,0,12.67,114.65,87,3.77,4.37,26.27,4
R437LM,2025-04-01,Chennai,5,4,3,1,22.9,1.81,244.7,0,8.99,49.05,78,2.75,4.66,26.06,0
R164UM,2025-04-01,Kolkata,9,7,1,2,41.56,10.89,357.39,0,16.52,113.96,43,3.96,4.41,23.18,5
R515UB,2025-04-01,Bangaluru,15,10,2,3,74.45,12.64,844.4,80,22.24,172.32,65,6.46,4.09,22.27,11
R637EK,2025-04-01,Delhi,7,5,0,1,35.97,5.7,339.88,0,7.9,80.02,68,3.28,4.74,27.26,4
